PERSON_ID,MAJOR_PERSON,SPECILTY
15,英语,"中国画 / 书法 / 播音主持.主要曾获荣誉:****/7月:  迎奧杯全国青年艺术大赛, 美术组分赛, 国画<<春韵>>荣获一等奖****/6月:  荣获吉首大学****届教育实习优秀实习生、荣获湖南省优秀学生干部标兵吉首大学第十二届蔡冠深奖学金评选, 荣获二等奖学金****/1月:  吉首市第九届凤凰杯全市中小学生英语演讲比赛, 荣获优秀主持人****/****月:  吉首大学师范生教学技能比武大赛, 荣获最佳教师风采奖****/6月:  吉首大学第十二届冠代奖学金评选, 荣获一等奖学金           吉首大学第五届英语卡拉OK大赛, 荣获三等奖****/4月:  湖南省湘西州人民政府成立五十周年庆典民族服装审定会, 荣获优秀司仪****/****月: 吉首大学师范学院建院五周年暨开办师范教育****周年庆典, 荣获优秀主持人主要海外游历:****年1月: 参加香港****秋冬系列时装节暨国际时尚荟萃博览会, 香港会展中心****年****月: 参加第7届斯里兰卡AISEC和FASE工业纺织展, 科伦坡国际展览中心****年8月: 参加第****届曼谷国际时装展, 曼谷国际贸易展览中心 "
16,职业技术教育学,1、具有多年生产车间现场管理经验，能灵活应用数据化管理。熟悉各种电子玩具产品的装配、包装流程，熟悉五金电子产品的制程、半导体冷热机的装配运作过程及其的品质控制要求。在产量跟踪、质量控制、技术改进、物料追踪与控制方面力求数据化、统筹化。将产量、质量、生产效率之间的利益矛盾结合实际情况相统一，力求最大限度地创造生产效率。2、熟悉各种电子玩具的检测标准、五金电子制品的工艺流程及产品要求。3、在生产方面力求数据化管理，全面推行优质、高效、低耗、均衡、安全文明生产。具有组织领导、生产分析及现场管理的能力。对生产排期、生产计划方面有一定的经验。4、对“ISO****”、“ISO****”、“SA****”、“7S”、“ERP”的推行过一定经验和心得。能充分发挥下属工作积极性，最大限度挖掘其工作潜能。能独立开展工作、有较强的的敬业乐业及团队协作精神。综合素质好。
17,人力资源管理,岗位评估绩效体系设计培训需求调查
18,信息管理与信息系统,"特长：1.善于思考，与人交流与沟通，逻辑思维能力强。      2.具有良好的计算机能力，能熟悉地办公软件的应用，能比较熟练地应用c语言、c++、VF,对VB也有 一 定程度的了解，熟悉计算机网络，能从事相关方面的工作。         3.对ERP有相当程度地了解，具有模块化的思维，能从事相关方面的工作。         4.对人力资源有相当程度地了解，熟悉人力资源的相关流程."
19,电子信息工程学,使用PROTEL **** SE软件、keli C、熟悉数字电路与单片机
20,计算机网络与多媒体,"办公软件熟练,PHOTOSHOP设计精通!"
21,工民建,"   对工作认真负责,工作细心,有吃苦耐劳精神,能****公司及领导安排的任务,熟悉建筑施工管理流程,具有一定的施工管理经验,熟悉工程监理工作流程,能很好地完成监理员的职责.已经通过****二级建造师考试。"
22,国际经济与贸易,****年 8 月获得高级国际贸易业务员证书
23,通风、制冷与低温技术,"空调中级检修证书、全国计算机绘图CAD证掌握中央空调工程的施工组织及管理、空调工程的预算，了解中央空调工程设计以及各种制冷设备的用途和性能，熟练掌握AutoCAD,办公软件等  "
24,办公自动化,无
25,电子信息工程学,****/arm单片机的开发应用，C/汇编语言编程，Protel应用，Max Plux II下的EDA开发。
26,【化学】,专业知识扎实，实验操作技能强，计算机操作熟练，熟练掌握办公室软件的应用，
27,计算机科学与技术,1．安装调试POS-ERP系统多套，培训各种工作人员对零售软件的运用和维护，对零售业的进销存管理有很深的了解。2．对计算机硬、软件维护熟悉精通，能快速准确的处理硬、软件故障，对各种病毒能做到防范、处理和修复；有网站维护经验。3．有组建大型局域网和网络维护的经验和能力；熟悉服务器AD网域、文件服务、打印服务、FTP服务、SQL数据等服务的配置管理。4．会运用PS、Crowdraw等软件进行图片处理，对监控设备也能安装调试。
28,经贸英语,外贸函电，外贸单证处理获得证书：全国商务单证员
29,机电一体化,"在校主要学     工程力学,机械制图,精密机械制图设计基础,精密机械制造基础,精密仪器设计,AUTOCAD制图.Pro/E.   Sodworks"
30,物流管理,    合理有效的组织大小活动
31,电子信息工程学,（1）熟悉液晶显示器的COG、TAB技术 （2）精通电测治具的开发与维护。　 （3）精通电烙铁焊接。　 （4）熟练操作MATLAB、protel****se、以及Word、Excel等办公软件，熟悉C语言编程通过国家计算机二级(C语言)
32,电子商务,熟悉网络营销诸如email营销，博客营销，搜索引擎营销基本流程和概况。熟悉国家贸易相关流程。掌握电子商务基本贸易流程和相关环境。
33,汉语言文学,  熟识东西方古今文学。
34,软件工程,"能够熟练的操作linux系统，能掌握linux下的C语言编程、QT、GTK图形编程，安装构建过纯手工打造的一套属于自己的LFS系统，能熟练的应用ＱＴ、ＧＴＫ。曾用ＱＴ、ＧＴＫ写过数码相框程序，用ＱＴ做过填充图等小项目，熟悉网络编程，用SOCKET编写过局域网聊天程序。构建和移植过linux文件系统，裁剪过linux内核, 基于libmad库写的MP3程序，能够掌握MP3的解码播放技术，并将其移到ARM板上去, 基于Video4Linux写的远程家庭视频监控器程序，能够掌握Video4Linux摄像头数据的获取。"
35,会计学,能熟练操作一般纳税人全盘帐务，熟练操作税控机、打印复印机、传真机等。
36,网页设计,能独立完成中小型网站的设计与制作，曾参与开发大型网站，有门户网站的制作经验。敏锐的市场洞察力，活沃的设计思维，创新意识强，美术功底扎实，审美观独特。熟悉掌握PS、DW、FLASH等网页设计软件，CSS+DIV布局，了解Actionscript和Javascript脚本，能手动更改HTML、ASP代码.
37,会计学,熟悉国家财务制度和相关政策法规 熟练掌握计算机基础知识，并能熟练运用office、Foxbase等进行计算机软件应用，并具有较好的计算机网络知识与技能 
38,会计学,拥有会计从业资格证书，熟悉国家财经制度和相关政策法规，熟练使用财务软件。具备全国计算机等级二级证书，熟练使用Microsoft Word、Excel、PowerPoint办公软件，打字速度****字/分钟左右。具备全国英语PETS-3级证书，能熟练使用英语。
39,机电一体化,本人能熟练使用AutoCAD、Pro/E及office办公软件，可以进行非标零件设计。比较擅长于设备调试，善于发现问题并及时解决，能够独立完成大中型设备的安装调试工作。
40,经济学,本专业涉及经济和金融两个方面，经济理论知识丰富，适合从事金融部门的分析和管理类工作。
41,财务管理,专业基础知识扎实，思维清晰，能独立****公司的全盘帐务，往来帐务核对认真心细，财务上常用的EXCEL操作熟练，会用财务软件做电子帐，亦会做手工帐，能及时处理工商、银行、税务方面的事项，自学能力比较强，能极快的接受新事物新工作。
42,汉语言文学,1、有较强的企业运作、活动策划、文案策划能力，包括大型企业文化活动、媒体攻关、品牌策划等。2、有较丰富的企业文化建设经验。熟练掌握国内大型企业****公司内部经营运作规律，熟悉企业品牌文化、构建学习型企业文化的建设工作，有宣传策划等部门丰富的工作经验。
43,电子自动化,"    本人学习的是智能楼宇工程技术以及计算机网络技术.能够熟练的操作计算机以及用使用多种计算机辅助软件进行编程设计等  在电子方面学习的主要专业课程有:传感器、安全防范系统、PLC编程技术、单片机原理、AuTO CAD、建筑供配电、局域网的组建与管理、楼宇自控技、综合步线、CATV系统、电子电路CAD等  对各门知识掌握良好,在实训过程中自己动手设计过多个系统."
44,财政学（含税收学）,取得会计师从业资格证书；并已报考了初级会计职称和注册会计师。熟悉财务流程，可以做账务处理；熟练掌握网银知识、出纳的工作。了解相关税收税法知识，以及财政，金融等方面的知识。2年在济南TC*****公司财务工作经验。
45,印刷工程,胶印技术，数码技术，喷绘技术，丝印技术
46,经贸英语,"熟练英语,可以熟练与国外客人口语沟通,书面翻译精通.外语除英语外还自学西班牙语.本人有从事外贸工作约9年时间，熟悉外贸运作流程，有较强外贸开发能力.并有一定的管理经验及较强管理能力,曾带过外贸团队并获得不错成绩"
47,计算机应用技术,计算机应用及word/excel等办公软件的使用；证券保险等金融行业从业经验丰富。
48,经济学,"       1。精通财务管理之成本会计,往来核算。     2。具备良好的财务基础知识，和良好的组织管理能力。         3，较强的沟通管理能力，能操作OFFIC办公自动化软件及ERP财务管理软件。             "
49,包装设计,熟练掌握PhotoshopCS2、Coreldraw、Pagemaker、Illustrator、Freehand等设计专业软件，Creo专业出版软件，能独立创意设计完成简单纸盒外包装、手工拼版、晒版
50,【工商管理】,熟悉人力资源六大模块，会ISO文件编制，擅长写作。
51,平面设计,熟练操作：PHOTOSHOP / CORELDRAW / ILLUSTRATOR 等设计软件会操作MAC/PC机上进且激情、敢于挑战、有很好的适应工作能力和接受新事务的能力，有较好的团队合作精神。工作认真细心、有高度的主人翁精神和责任感。 
52,英语,  大学期间掌握很多专业英语技巧知识，并学习了很多的外贸英语知识，例如外贸函电，销售合同，签立信用证和开立单据。
53,【法学】,"具有通过四年的法律专业的学习，熟悉我国基本的法律法规,如《(民*法》等等与日常生活相关的民法。培养了基本法律意识和技能在律师事务所实习期间实践应用法律解决现实问题。曾经为亲戚提供法律意见并协助处理法律纠纷问题，为亲戚减少了经济损失。"
54,电子信息科学与技术,1：熟练于电子产品故障分析，维修及测试。2：具有一定的市场洞察力3：人际关系沟通能力强
55,电气工程及其自动化,"1.熟悉工厂电气自动控制的原理2.变频器实际使用3.熟悉模拟电子电路,数字电子电路4.精通ECAD电气制图。5.熟悉各种继电器的使用。 "
56,【管理学】,1.熟悉人力資源各大模塊及行政管理工作﹔2.精通人員招聘﹑培訓﹑薪酬管理﹔3.悉知深圳勞動政策和政府各辦事流程﹔4.熟悉企業相關法律如勞動合同法﹑保險法﹔5.熟悉電腦操件如Excel﹑Wordt等相關軟件﹔
57,计算机应用技术,熟悉C语言，delphi，Java，SQL数据库，网页三剑客，熟练操作办公软件。 掌握ERP流程，二次开发。
58,计算机应用技术,  会驾驶.懂得电脑的安装 以及基本的检测.
59,电子信息科学与技术,能用单片机、CPLD进行系统设计，熟悉C语言、汇编语言、VC等，能用protel进行PCB设计。
60,会计学,"取得会计从业资格证和初级会计师证，全国计算机等级VFP二级,能熟练操作增值税防伪税控开票系统和Word、Excel办公软件。"
61,英语," 　　Majored business english 　　Academic MainCourses:                                                                                  Management/Marketing/InternationalTrade,　　business English, Computer Skill and so on　　English Skills:　　Have a good command of both spoken and written English.　　Computer Abilities:　　Skilled in use of Windows / Office ****　　Self Assessment:　　Good professional skills. team work spirit. high liability and attribution. nice characters.　　self-motivated, respond well in high-pressure atmosphere.  cooperative and honest to others."
62,市场营销,良好的协作力和沟通力，能独挡一面，灵活处理问题，较强的谈判力、分析力、和观察力，良好的服务意识，说服力较好，较善于客户投诉处理和善于从别人身上学到经验
63,公共事业管理,"    熟练掌握专业课程,取得会计电算化初级证书、管理系统中信息技术的应用模块证书（NIT）、计算机一级证书    有较强的责任心和吃苦耐劳精神，适应力强"
64,计算机应用技术,擅于与人沟通。熟练运用计算机各种应用软件。
65,会计学,熟悉会计准则、税法、相关经济法。并能熟练运用。了解各种企业的经营发展情况。
66,机电一体化,熟悉企业管理理论，对策划、组织、领导、控制之功能有深刻的理解和实践、运用。精通于生产现场管理和制程优化管理，较强的组织、计划、沟通协调能力，良好的团队合作精神。思维灵活，不循规蹈矩，应变能力强，富挑战精神。精通现代化质量手段，深知6S对品质的影响、对6S有深厚理解和实践经验。重视对过程的管理，熟练运用QC七大手法、5W1H、IE七手法等管理手段，有效提升工作效率和确保品质方针的实现；了解ERP和MES系统。熟悉电子产品和LCM模组制造工艺，训练掌握COG、COF、TAB、SMT、COB等工艺。了解各类生产设备的调试、维护、和管理，如ILB的COG自动BONDING机（TB****）和半自动BONDING机、OLB的本压机、ACF贴付机、和压焊机等。精通IE手法，对生产线进行合理布局，提升生产效率。具备工程技术创新能力，积极参加生产创新和设备改进。
67,电子信息工程学,"熟悉多种单片机的软/硬件开发设计，熟悉模电/数电，高频电路。掌握汇编，C,C++等语言的编程，熟悉Keil C,VC++6.0,LABVIEW等开发工具，熟悉基于MFC下的应用编程，掌握多线程，串口编程，SOCKET的应用。熟悉IIC,RS****/****，TCP/IP等通信协议。可同时实施下位机和上位机编程与应用方案开发。有研发团队和项目管理经验：下位机/硬件：本人有9年的新产品开发经验，一直从事单片机的应用开发,对单片机有深刻的理解和丰富的实践经验,熟悉****,PIC,STC,松翰,义隆,HOLTEK和麦肯等型号单片机的设计应用，精通汇编，C/C++语言，熟悉多种单片机通信协议，精通Protel电路设计软件，熟练使用各类信号分析仪器。对模/数电路有扎实的基础和产品独立开发能力，熟悉RF/IR通信系统设计。通过软/硬件的合理搭配，曾多次成功解决行业内的碰到的棘手难题（如通过软件成功解决直流电机运行时对遥控的RF信号产生的干扰，霍尔传感器对电机运行信号采集碰到的干扰，超声波信号采集过程中的干扰等），成功完成多项新产品的开发,并量产。这些产品，性价比高，性能稳定，在激烈的市场竞争中拥有很大优势。因乐于攻坚，产品中，多有同行难以企及的性能和品质上的卖点，大大提高了企业的利润点。上位机/软件：熟悉C++语言，VC++6.0的开发环境，熟悉基于MFC下的应用编程，掌握多线程，进程，串口编程，SOCKET的应用。开发过串口，TCP/IP通信软件，负责与下位机进行数据发送/读取等处理。团队和项目管理：熟悉新产品开发步骤以及项目管理。坚持从市场的需求出发，正确把握技术发展的方向，全面提高研发团队的技术实力。有效控制项目的进度、质量和预算。成功完成团队的建设、绩效管理及考评工作."
68,会计学,"学的是会计与统计学核算的专业，但我个人是偏向于会计学，比喻说会计学基础、中级财务会计、成本会计、财务管理、会计电算化、Excel在财务软件上的应用等专业都是我学习上的重点，在上面花了不小时间，所以会计方面的知识还算学的比较精，做会计科目，资产负债表、现金流量表、利润分配表算的上比较拿手的。中级财务会计学基础上学习的，比较深、比较难、又比较全面，我找了一本注册会计学的习题研究，使我对它有更深入的了解它。成本会计算的上技术性比较强的、比较难的课程，但是我学的时候觉得它特别有意思，所以对它特别的感兴趣，因为你可以从中学到怎样计算生产成本，最准确的做出财务报表，知道从哪一方面去减少成本最划算，从而可以给管理者提供经营企业的的最有力的证据，使成本达到最小化，利润达到最大化。财务管理可以说的上比较难的学科，你可以从中学到怎样去经营企业，使企业财富的****公司资金运转可以允许的情****公司暂时剩余的资产，怎样去投资使利润最大；从中你也可以学到在什么情况下你可以投资，选择哪一种方式投资，尽量减少风险，使投资的利润最大，投资的方案最甲；从中你也可以学到怎样去筹集资本，通过什么样的途径，在筹集一定数额的情况下，怎样才能使筹集的成本最小；你可以从中学到在附加折扣条件的赊帐，什么时候付款，成本最低，最划算的；你还可以学到怎样给股东去分红，使企业的风险小，****公司的形象又使股东有一份稳定的收入等知识。会计电算化是一名比较实用的课程，我们学的是比较通用的财务软件金碟，先在财务软件上生成会计科目的凭证，然后做出资产负债表、现金流量表、利润分配表，再然后对此进行分析。Excel在财务软件上的应用是通过电脑更快、更准确的来处理财务方面的知识,就可以避免手工输入带来失误的问题。"
69,英语,"熟悉Office 办公软件如Word, PPT, Project, Outlook, 等ERP系统操作经验(JD Edwards，Ione ) 熟悉FCC/CE 电磁安规论证体系，ISO****质量管理体系、食品安全管理体系，第三方安全管理体系"
70,国际经济与贸易,曾在中****公司实习，了解国际贸易业务操作流程，有一定理论基础及相关工作经验，熟悉制单、报关，并对国际货代方面有一定了解；外贸函电写作熟练，能快速投入工作。
71,【设计学】,"1.精通photoshop,会用coreldraw,cad,3d的基本操作，2.扎实的美术功底与色彩感,丰富的想象力和原创力,3.对审美有自己独特的见解与认识;4.善于与团队进行良好的沟通与合作."
72,【电子科学与技术】,"在校学习期间，不仅掌握了所学的理论知识，并具有较强的动手能力，比如组装简单的电子产品，如:收音机的组装、制作可调稳压源等一些小电子产品等。并能熟练使用Microsoft Office ，如Word 、Excel等，还掌握了Protel,、EDA、Auto CAD 的基本操作。"
73,工程造价,"最自己的专业要求很严,很吃苦.能快、及正确的做出预算"
74,会计学,    获得人力资源助理师证书，    获得办公自动化证书。    熟练office全套办公软件，熟悉金蝶erp财务系统。    其他特长  ：      1、高中三年一直担任宣传委员一职，心灵手巧，富有创新思维。     2、大学三年一直担任副班长一职，多次主持班会，多次组织野外动，   有一定的带头作用和号召力。 
75,计算机应用技术,"专业能力：C语言程序设计、Dreamweaver、SQL Sever、计算机网络、操作系统、网站设计、软件工程、信息系统开发、企业管理：应用文写作、企业管理、企业信息与市场调研市场调研：问卷设计、数据统计，资料收集接触过财务会计等相关领域,熟练电子商务的工作流程,有一定的工作经验精通Photoshop，Excel,Word等常用办公室软件"
76,电子信息工程学,"熟练掌握模电，数电理论基础熟练掌握电路图设计、PCB板图绘制（熟练使用AutoCAD, Protel等软件）熟练掌握单片机C语言、汇编语言，掌握****系列单片机相关知识熟练使用Word，Excel，Powerpoint等办公软件熟练使用Labview、Proteus，并能进行相关设计熟悉PLC，嵌入式系统,自动控制系统，EDA等相关应用"
77,【工商管理】,持有会计证及驾驶证
78,会计学,﹡获得相关证书 ◆会计从业资格证 ◆会计电算化知识培训合格证拥有会计资格证书，熟悉国家财经制度和相关政策法规，能熟练使用财务软件﹡头脑灵活，善于分析.﹡性格开朗、责任心强，有强烈的敬业精神
79,平面设计,精通操作photoshop、Coreldraw等设计软件进行VI设计、版式编排及招牌、书籍封面、海报、画册、宣传单页、名片等设计。 熟练掌握windows****/XP/ME等操作系统 能熟练运用office**** Microsoft Excel/ Word等办公软件 熟练操作复印机、打印机、扫描仪、绘图仪等
80,农学,本人在6年社会工作****公司领导的好评；更学会不少东西。本人能熟练应用OFFICE系列办公软件；对文员一职有较多的了解和认识，并具有一定的工作经验。
81,会计学,"财务/行政/人事工作经验都非常丰富。1.拥有深圳市会计从业资格证书及会计电算化证书，拥有初级职称。2.熟练使用EXCEL,WORD等办公软件，对EXCEL常用函数熟练掌握。3.熟练操作金碟K3财务软件，对总账，供应链，固定资产等模块都非常熟悉。4.熟悉一般纳税人操作流程，能够独立开具增值税税票，网上认证，网上报税等，熟悉深圳市国税地税办事流程。5.对行政人事工作非常了解，如：出国办理签证，人事招聘，组织集体活动等。"
82,生物工程,短跑-湖北省荆门市三级运动员文字编辑-大学、高中校报记者
83,经贸英语,"国际贸易专业-经贸英语: CET-6；英语口语及书写流利，可与外国客户交流自如。能熟练使用电脑办公软件，如：WORD，EXCEL, 略懂PHOTOSHOP, POWERPOINT等软件.具有较强的协调沟通能力，擅长商务函电熟悉外贸流程和具备较强的沟通能力和表达能力，能独立解决各种外贸中出现的问题及单证具有独立拓展市场能力及管理能力 "
84,园林规划与设计,对各种办公软件能熟练操作，在学校期间是各活动策划者。对CAD。PHOTOSHOP。3DMAX。等绘图软件能熟练操作。
85,财务管理,精通用友、速达、金碟等财务软件精通多项计算核算软件另外;有C牌驾驶证
86,会计学,熟炼财务各岗位具体工作。
87,机电一体化,"自动,半自动设备的设计以及维修.三维 二维 的工程图作成.  "
88,会计学,    两年的工作经练。有会计从业资格证书，助理会计师证。熟悉操作金蝶、用友等财务软件。熟悉Word、Excel操作。  
89,会计学,"在以往的工作中总结了如下工作经验:1、办公室日常事务,员工招退工及办理社保缴费等手续;2、收集供应商的资料及跟进定单交付情况;3、使用速达、用友及金蝶KIS标准版财务软件4、熟悉往来帐目、应收应付帐款管理、客户管理等工作5、对涉外会计:银行,税务,社保.比较熟悉"
90,计算机应用技术,熟练的使用办公软件.
91,电子信息科学与技术,熟练运用风枪和烙铁，熟悉SONY 主板的框架图及基本电路.负责不良品的解析，产线异常的处理，新产品导入之各阶段试做时问题点的汇整.
92,电子商务,获得了助理电子商务师、助理物流师、计算机、办公软件等证书熟悉互联网及网络营销概念；熟悉网站的网络推广；能够熟练运用互联网工具实施企业电子商务化；熟悉电子商务B2B、B2C、C2C；常用搜索引擎（如百度、google、yahoo）的搜索排名技巧(如SEO)、及网站的运作模式；能熟练运用photoshop平面设计软件及dreamweaver网页设计软件等自****年一直担任学院论坛网站的管理员并拥有自己的网店：淘宝店址：******
93,【工商管理】,人事、行政管理，公文写作，沟通协调，社交能力强，应变能力强，擅长人际关系处理，熟悉企业管理相关法律。
94,国际经济与贸易,专业特长：了解外贸英语使用，单证知识，了解外贸业务流程等， 
95,设计艺术学,绘画
96,工民建,建筑施工、机电安装、给排水安装及项目施工管理（包含消防电水系统及中央空调电水系统）。
97,日语,"日本語，计算机,C1小型汽车驾驶"
98,文秘,有多年人事及行政管理工作经验，有良好的解压方式；熟悉S.T.Dupont高档男装，经销商管理及售后服务;具有良好的客服意识，沟通及逻辑能力；有财务知识，熟悉操作办公软件，精通EXCEL及各类报表的制作，良好的数据分析统计能力及经验。
99,【公共管理】,获得中华人民共和国劳动和社会保障部职业技能鉴定中心颁发的：计算机办公软件高级操作员级（国家职业资格三级）和图形图像处理（Core1DRAW平台）高级图像制作员级（国家职业资格三级），合格证书。并持有动车驾驶技能（B牌）。
100,电子信息工程学,"  毕业于电子信息工程技术专业,电子基础好,动手能力强.实习于广东长*****公司,熟悉网络技术和通讯技术."
101,外国语言学及应用语言,1.熟悉Windows操作系统，熟练使用办公及应用软件2.商务文档翻译，标书制作，影视视译2.通过了广西全国高校计算机等级考试（一级）3.大学语文、 日语、 参加了剑桥商务英语证书中级（BEC Vantage）考试培训、 参加了于****年****月的全国报关员资格认证统一考试培训并取得报关资格证、 计算机等级考试一级、 参加了****年2月高中教师资格培训        
102,电子信息工程学,   熟悉windows操作系统，能熟练运用Word、Excel、PowerPoint等办公软件以及运用C语言进行简单的编程。能够熟练运用Matlab及Protel ****绘制电路原理图并制作PCB板，会进行AutoCAD、Pro/E等相关专业软件操作。系统的掌握了模拟电子，单片机，PLC等有关理论。通过参加电工培训获得了电工上岗证和高级电工证。
103,模具设计,CAD POR/E solidwork等软件工具能进行二维三维设计。
104,计算机应用技术,   能够熟练的操作电脑办公自动化软件，五笔打字每公钟****字，会操作财务软件（用友商贸通及速达****），懂平面设计photoshop软件的运用以及ERP系统的操作。
105,计算机应用技术,有较好的色彩感，熟练运用PS图像处理软件！对网站广告制作和网站活动推广页面制作流程熟悉！文笔较好！有网站论坛推广经験！
106,国际经济与贸易,"扎实的外贸基本技能,熟悉机械英语,电池英语"
107,企业管理,1、熟悉全盘账务，并能独立操作全盘账务；熟悉报税流程及相关法规；2、熟练运用财务软件，全面掌握财务专业知识；3、已获得会计初级职称——助理会计师；4、能熟练运用ERP系统；5、经过几年的工作实践，熟练操作MS OFFICE办公软件，精通函数的运用；6、能熟练绘制电子电路图和工程CAD图。
108,国际经济与贸易,商务英语
109,计算机应用技术,熟练运用办公软件、能运用coredraw和photoshop软件进行图象处理、排版。各种软件及计算机应用方面以及计算机网络、C++编程、数据库基础与应用.驾驶技术，有B2驾照
110,国际贸易学,"一直以来我觉的我自己学习能力很强,,,象专业方面主要是看一个人的学习能力..在我看来专业是死的,,人是活的..只要有自己的思想,,,那么业余的也变成专业,,,所以我想自己把所学到的专业知识运用到实际生活和工作中去.."
111,经贸英语,语言：通过了大学英语六级考试和英语专业八级考试并已取得证书，有较强的听说读写译能力，能流利地用口语会话，熟悉外贸进出口的跟单操作会计：掌握了会计核算、财务分析、财务管理、税法等基本的会计知识，能够很好地运用软件进行账务和报表的处理，借助工具能进行会计凭证、会计报表的编制
112,英语,专业是商务英语，已经通过了大学英语六级。听说读写能力都不错，尤其在写方面比较出色。
113,计算机应用技术,　　ＷＯＲＤ．ＥＸＣＥＬ等办公软件
114,机械设计及理论,CAD高级绘图证书(****分).能熟练运用Pro/e 、CAD进行绘图、建模、设计能熟练运用各种办公软件以及电脑的组装和系统维护。
115,法学,1、参加工作多年，良好的沟通技巧及耐心细致的工作作风，多年的物业管理经验，具有很强的实际应变、处理能力。在法院工作期间，熟练掌握了民事审判和民事执行实务知识和经验，能熟练地独立处理民商案件的申请执行工作。熟悉法院系统的立案、审判、执行的办案流程。****年获得广东省高级人民法院司法警察军事培训上岗证。能熟练应用办公软件WORD、EXCEL、POWERPOINT、OUTLOOK EXPRESS等，并获得劳动部颁发的办公软件高级操作员证书，国家职业资格三级，具备相应的人力资源管理和行政管理知识。熟悉物业管理知识，具备娴熟的物业客户投诉处理能力和协调沟通能力，娴熟掌握物业管理合同续签、业委会换届选举及小区各级创优和复检工作。2、持有人事部、司法部、国资委联合颁发的企业法律顾问执业资格证书，具有中级经济师职称。3、熟悉物业管理知识，具备娴熟的物业客户投诉处理能力和协调沟通能力，娴熟掌握物业管理合同续签、业委会换届选举及小区各级创优和复检工作。4、擅长处理企业工伤事故及劳资纠纷。5、有B牌驾驶证，擅长打篮球。
116,会计学,****年9月考取会计从业资格证书
117,会计学,会计从业资格证，初级会计师职称
118,电子信息科学与技术,"熟练使用Eclipse、JBuilder开发工具；熟悉 C、ASP语言。 熟悉数据库原理和SQL SERVER****数据库 ,T-SQL语法； 熟悉Jsp,servlet,jdbc,html,Xml ,javascript,java 语言 了解软件流程,有软件测试经验,会写测试用例,熟悉使用VSS版本管理。 熟悉windows****/****/xp 操作系统。 "
119,通信工程,(1)熟练掌握模拟电路、数字电路、通信原理、电力电子技术等理论知识。(2)熟悉电源的工作原理与测试原理，熟悉常用的电子测试系统（FCT&ICT）。(3)熟悉开关电源拓扑结构，熟悉开关电源的测试规范（常规功能、可靠性、极限测试）。(4)熟悉常用的电子测试仪器。如示波器、数字万用表、功率计、信号发生器、电子负载等。(5)通过CET-4，具备良好的英文听、说、读、写能力。(6)具备良好的语言表达能力与沟通能力，具备良好的团队合作能力。
120,经济学,精通3D设计软件PROE进行模具设计。
